Priority,Company,Title,Location,Salary,Track,Contact person,Warm intro path,Applied date,DM sent date,Follow-up due,Status,Notes,URL
1,Anthropic,Forward Deployed Engineer - Applied AI,US (travel),~$220k+ base,FDE,,,,,,,Founder-types encouraged; no degree req; lead with Klauza Claude pipeline,https://job-boards.greenhouse.io/anthropic/jobs/4985877008
1,Glean,Founding Forward Deployed Engineer,Palo Alto/SF (verify),$160k-270k,FDE,,,,,,,Posting screens for 0-to-1 track record; flag NYC/relocation,https://job-boards.greenhouse.io/gleanwork/jobs/4651991005
1,Decagon,FDE - Agent Builder,NYC,~$175k-230k,FDE,,,,,,,Lead with Spur (agent that books),https://www.theladders.com/job/forward-deployed-engineer-agent-builder-decagon-new-york-ny_85348441
1,Distyl AI,Forward Deployed AI Engineer,NYC hybrid,$150k-250k,FDE,,,,,,,Explicit space for early-career; velocity pitch,https://jobs.ashbyhq.com/Distyl/ec9e338a-4040-4aa2-b049-424cd343f5f5
1,Ramp,Applied AI Engineer,NYC,$131k-189k,Applied AI,,,,,,,Only 2+ yrs required; also fullstack variant req,https://jobs.ashbyhq.com/ramp/d204e136-2749-42de-82b4-88a0dd352090
2,Pallet,Deployment Strategist (AI),NYC,$125k-195k,Strategist,,,,,,,Degree-agnostic,https://www.builtinnyc.com/job/deployment-strategist-ai-team/8151925
2,F2 (YC),AI Deployment Strategist,NYC,,Strategist,,,,,,,Very attainable; prompting + light implementation,https://www.ycombinator.com/companies/f2/jobs/Wz9M5KA-ai-deployment-strategist
2,ElevenLabs,FDE - Software Engineer,Remote-US ok,~$131k-189k,FDE,,,,,,,Embedded with strategic customers,https://jobs.ashbyhq.com/elevenlabs/6c4c57c1-ec72-42ba-af3a-eb7aebbde2e6
2,Palantir,Forward Deployed SWE,NYC,$125k-200k,FDE,,,,,,,The original FDE,https://jobs.lever.co/palantir/dab396d4-2f14-4796-aac0-0d82883dccf0
2,Palantir,Deployment Strategist,NYC,$110k-170k,Strategist,,,,,,,Non-CS-degree friendly,https://jobs.lever.co/palantir/e0ab8226-b928-4e3a-bf87-08fe7b1ea595
